Lokace,Velikost,Metry2,Cena,Služby
Zlínský kraj,2+1,53 ,12000,3000
Středočeský kraj,2+kk,48 ,12000,5000
Plzeňský kraj,1+1,41 ,8000,3550
Praha,2+kk,56 ,20000,4000
Královéhradecký kraj,3+1,71 ,15000,4900
Praha,2+kk,43 ,15000,3900
Ústecký kraj,4+kk,97 ,16000,6000
Plzeňský kraj,1+kk,20 ,6200,1950
Zlínský kraj,4+1,101 ,18950,5950
Středočeský kraj,2+kk,43 ,15000,4500
Praha,2+1,57 ,19000,3000
Praha,1+1,45 ,19000,2000
Praha,2+kk,48 ,17000,2500
Královéhradecký kraj,3+kk,65 ,14000,3900
Ústecký kraj,2+1,55 ,6500,4500
Plzeňský kraj,4+1,90 ,16500,5000
Olomoucký kraj,2+1,60 ,7500,2600
Ústecký kraj,2+1,62 ,12000,3900
Jihomoravský kraj,1+kk,33 ,11500,1500
Praha,3+kk,75 ,28500,6600
Praha,4+kk,116 ,35000,7500
Praha,1+kk,82 ,20000,8000
Praha,2+kk,48 ,8000,2000
Praha,2+kk,45 ,14990,3800
Praha,2+kk,43 ,14990,2836
Karlovarský kraj,1+1,37 ,6000,2600
Praha,2+1,67 ,17990,6177
Praha,2+1,67 ,17990,6177
Jihomoravský kraj,2+kk,70 ,14000,2500
Praha,1+kk,32 ,15000,2630
Praha,3+kk,164 ,79000,20000
Jihomoravský kraj,1+kk,40 ,11500,2500
Praha,1+kk,35 ,17999,2900
Ústecký kraj,2+kk,65 ,12000,3500
Ústecký kraj,2+kk,60 ,11000,3500
Pardubický kraj,3+kk,62 ,12000,5500
Praha,1+kk,30 ,12000,4000
Praha,1+kk,42 ,16000,2500
Praha,1+kk,36 ,13500,4500
Praha,2+kk,83 ,17990,4100
Ústecký kraj,1+1,36 ,5500,2500
Jihomoravský kraj,2+1,60 ,16800,3200
Praha,2+kk,49 ,15000,4000
Pardubický kraj,2+kk,42 ,13000,4000
Praha,Garsoniéra,24 ,10000,3000
Praha,Garsoniéra,52 ,10000,4000
Pardubický kraj,3+1,71 ,14000,4000
Praha,2+kk,45 ,17000,4000
Liberecký kraj,1+1,39 ,7000,3000
Praha,3+kk,85 ,30000,5000
Praha,3+kk,54 ,17000,0
Praha,3+kk,77 ,28500,3000
Praha,2+kk,45 ,18000,580
Praha,4+1,120 ,31000,6000
Praha,2+kk,58 ,16000,5000
Olomoucký kraj,3+1,70 ,6000,5000
Moravskoslezský kraj,2+1,55 ,10000,4000
Praha,2+kk,43 ,15500,4700
Královéhradecký kraj,3+kk,132 ,17000,11500
Praha,2+1,85 ,28500,1520
Plzeňský kraj,3+1,97 ,17500,3500
Olomoucký kraj,2+kk,55 ,14900,2500
Moravskoslezský kraj,1+1,36 ,5900,1800
Praha,2+kk,58 ,30900,5300
Praha,5+kk,128 ,36000,2500
Liberecký kraj,3+1,80 ,4500,2000
Praha,3+1,125 ,35900,6000
Plzeňský kraj,2+1,60 ,13500,3000
Praha,2+kk,45 ,13500,2500
Pardubický kraj,2+1,65 ,12000,2000
Královéhradecký kraj,3+1,57 ,11000,3000
Středočeský kraj,2+1,52 ,12600,5000
Praha,1+kk,30 ,12700,3000
Praha,3+kk,67 ,29500,4000
Karlovarský kraj,2+1,59 ,9000,6000
Moravskoslezský kraj,3+kk,74 ,11000,3555
Jihomoravský kraj,3+1,72 ,16000,4000
Praha,2+kk,60 ,17000,3500
Praha,1+kk,50 ,17500,4500
Jihomoravský kraj,1+kk,26 ,8500,2700
Moravskoslezský kraj,1+1,33 ,7000,1900
Středočeský kraj,2+kk,40 ,10000,4000
Praha,2+kk,41 ,17000,3500
Praha,3+1,56 ,15000,3500
Praha,1+kk,30 ,12000,4000
Ústecký kraj,2+1,44 ,7500,3500
Ústecký kraj,3+1,78 ,12000,7000
Praha,2+kk,41 ,11800,1000
Praha,2+kk,59 ,17900,2100
Praha,1+kk,25 ,11500,600
Praha,2+kk,50 ,9000,4000
Středočeský kraj,2+kk,43 ,11000,3446
Středočeský kraj,3+1,73 ,10000,2000
Praha,2+kk,35 ,15900,5000
Praha,2+kk,45 ,14900,5000
Praha,1+kk,35 ,14900,5000
Praha,1+kk,42 ,16000,5000
Zlínský kraj,3+kk,64 ,13500,2800
Praha,3+1,70 ,1,6220
Praha,2+kk,56 ,16000,1
Pardubický kraj,3+kk,58 ,11500,4000
Ústecký kraj,2+1,50 ,7500,4000
Praha,2+kk,37 ,18999,2500
Jihomoravský kraj,Garsoniéra,28 ,11000,2500
Ústecký kraj,3+1,71 ,13000,1000
Královéhradecký kraj,2+kk,56 ,11500,4500
Jihočeský kraj,3+1,72 ,14000,1500
Karlovarský kraj,1+kk,25 ,6000,800
Pardubický kraj,3+kk,80 ,12000,2500
Jihomoravský kraj,2+kk,54 ,12500,2500
Středočeský kraj,2+kk,60 ,15000,4000
Středočeský kraj,3+kk,62 ,14000,4500
Praha,1+1,33 ,12500,4218
Praha,2+1,54 ,7750,400
Praha,2+kk,56 ,16500,3128
Jihočeský kraj,2+kk,40 ,12000,4000
Liberecký kraj,2+1,60 ,6500,3500
Ústecký kraj,2+1,56 ,9500,0
Praha,4+kk,100 ,33000,7500
Praha,1+kk,31 ,17500,6000
Jihomoravský kraj,3+1,90 ,16000,4500
Praha,1+1,35 ,13000,4000
Jihomoravský kraj,2+kk,85 ,22000,5500
Olomoucký kraj,2+kk,45 ,11000,4000
Karlovarský kraj,3+kk,57 ,9000,4000
Jihomoravský kraj,3+1,90 ,5700,1500
Královéhradecký kraj,2+kk,40 ,14500,2500
Královéhradecký kraj,Garsoniéra,30 ,10500,2000
Praha,2+kk,51 ,21000,4080
Středočeský kraj,2+kk,110 ,16500,0
Praha,2+kk,52 ,19900,4000
Praha,2+1,58 ,32900,2500
Jihomoravský kraj,2+1,50 ,12000,4000
Jihomoravský kraj,2+1,60 ,15000,3000
Moravskoslezský kraj,2+1,55 ,8000,1500
Olomoucký kraj,1+1,34 ,7500,2800
kraj Vysočina,2+kk,48 ,10000,6000
Moravskoslezský kraj,2+1,47 ,11000,2000
Praha,3+kk,74 ,22000,6900
Praha,2+kk,58 ,21500,2500
Moravskoslezský kraj,2+1,44 ,9000,2000
Praha,2+kk,44 ,15900,5200
Zlínský kraj,2+kk,55 ,13500,4000
Karlovarský kraj,3+1,115 ,15500,3500
Královéhradecký kraj,3+kk,76 ,17000,5500
Karlovarský kraj,2+1,55 ,11500,2000
Olomoucký kraj,2+kk,77 ,14000,3000
Liberecký kraj,3+kk,73 ,12500,3500
Liberecký kraj,2+1,90 ,16500,0
Olomoucký kraj,2+kk,47 ,15000,3500
Praha,1+kk,39 ,13840,7060
Středočeský kraj,3+1,79 ,15000,4000
Jihomoravský kraj,1+kk,40 ,13000,3000
Praha,1+kk,28 ,14700,2000
Moravskoslezský kraj,1+kk,23 ,6000,2550
Moravskoslezský kraj,1+1,45 ,8000,2650
Karlovarský kraj,Garsoniéra,19 ,4900,2500
Liberecký kraj,2+kk,85 ,14000,3000
Praha,1+kk,27 ,10000,2500
Jihomoravský kraj,1+1,45 ,11000,2500
Praha,2+1,51 ,19500,3900
Středočeský kraj,2+1,57 ,13000,3900
Moravskoslezský kraj,2+kk,60 ,10000,2500
Plzeňský kraj,Garsoniéra,24 ,3700,2500
Středočeský kraj,Garsoniéra,27 ,11000,3000
Praha,3+kk,85 ,21000,5500
Liberecký kraj,1+1,39 ,8500,3500
Praha,Garsoniéra,60 ,12000,5000
Praha,Garsoniéra,18 ,6500,2800
Praha,2+kk,48 ,20000,3500
Praha,Garsoniéra,23 ,10500,3530
Praha,3+1,85 ,19100,850
Praha,1+kk,26 ,11000,1100
Středočeský kraj,1+1,44 ,8000,3500
Praha,4+1,76 ,21000,3500
Praha,2+1,60 ,13000,3500
Praha,1+1,33 ,12000,2800
kraj Vysočina,3+1,96 ,12000,350
Praha,5+1,170 ,30000,5000
Praha,2+kk,58 ,28000,5100
Středočeský kraj,2+kk,42 ,10000,6000
Středočeský kraj,2+kk,50 ,15000,4000
Ústecký kraj,1+1,42 ,6250,1450
Ústecký kraj,2+1,47 ,8300,2200
Praha,2+kk,72 ,15000,3850
Praha,2+1,62 ,19500,3500
Středočeský kraj,2+kk,53 ,15000,3500
Moravskoslezský kraj,1+1,27 ,5800,1400
Středočeský kraj,1+kk,30 ,8000,3500
Praha,1+kk,33 ,11200,2600
Liberecký kraj,2+1,69 ,13000,0
Praha,3+1,76 ,22000,2000
Praha,1+kk,34 ,19000,4500
Karlovarský kraj,2+1,52 ,4000,5000
Olomoucký kraj,1+kk,28 ,9583,2417
Praha,1+kk,27 ,14000,3500
Praha,2+kk,92 ,32000,5950
Moravskoslezský kraj,1+1,39 ,4500,3000
Liberecký kraj,2+1,65 ,13000,5000
Moravskoslezský kraj,2+kk,85 ,11000,2400
Praha,1+1,54 ,16500,3500
Královéhradecký kraj,2+1,58 ,9000,4000
Jihočeský kraj,1+1,45 ,8000,2000
Praha,2+kk,47 ,17000,2000
Praha,2+kk,39 ,13000,3000
Praha,2+kk,54 ,17900,5000
Praha,4+kk,134 ,35000,5500
Praha,2+kk,56 ,18500,3000
Středočeský kraj,2+kk,45 ,10000,2500
Olomoucký kraj,3+1,60 ,7000,7300
Praha,2+kk,54 ,16400,1600
Jihomoravský kraj,1+kk,33 ,8500,3300
Jihomoravský kraj,2+kk,47 ,14000,3000
Středočeský kraj,2+kk,50 ,11900,4000
Ústecký kraj,Garsoniéra,34 ,7990,3000
Moravskoslezský kraj,2+1,52 ,10200,2500
Jihočeský kraj,1+kk,25 ,7000,3000
Moravskoslezský kraj,3+1,68 ,16000,2400
Jihomoravský kraj,3+kk,80 ,15000,5000
Ústecký kraj,3+1,96 ,16990,6000
Ústecký kraj,3+1,68 ,12000,2000
Ústecký kraj,3+1,74 ,12500,2000
Jihomoravský kraj,2+kk,48 ,14000,2500
Praha,2+kk,103 ,24000,5000
Praha,3+1,81 ,21000,6450
Praha,2+kk,55 ,24500,4000
Praha,Garsoniéra,46 ,11300,1000
Praha,1+kk,31 ,20000,4000
Moravskoslezský kraj,1+1,32 ,6800,0
Olomoucký kraj,3+kk,64 ,13000,2864
Jihomoravský kraj,2+kk,53 ,15500,2500
Plzeňský kraj,1+kk,31 ,10900,2500
Praha,4+kk,108 ,27000,7900
Středočeský kraj,2+kk,43 ,17000,1000
Jihomoravský kraj,2+kk,60 ,17500,2400
Praha,2+kk,41 ,13000,2999
Královéhradecký kraj,3+kk,70 ,13500,3900
Praha,2+1,45 ,10000,2000
Jihomoravský kraj,1+1,35 ,13000,3000
Jihomoravský kraj,2+1,56 ,13000,5000
Jihomoravský kraj,1+1,50 ,11000,3800
Jihomoravský kraj,1+kk,26 ,9417,2800
Praha,1+kk,36 ,16500,3500
Praha,Garsoniéra,20 ,12000,1500
Praha,2+1,60 ,18000,4500
Praha,1+1,42 ,15000,3000
Ústecký kraj,2+1,63 ,12500,4000
Olomoucký kraj,2+kk,70 ,11500,4000
Liberecký kraj,3+1,70 ,14000,4890
Královéhradecký kraj,2+1,54 ,21000,4500
Ústecký kraj,3+1,81 ,13000,5000
Praha,Garsoniéra,32 ,8000,2000
Praha,3+1,74 ,20000,7000
Jihomoravský kraj,3+1,18 ,2000,0
Ústecký kraj,1+1,37 ,6700,2300
Praha,2+kk,50 ,15900,1000
Praha,3+1,125 ,47000,0
Středočeský kraj,2+1,60 ,11000,6000
Praha,Garsoniéra,30 ,13000,4000
Praha,3+kk,115 ,34500,5300
Moravskoslezský kraj,2+kk,50 ,6000,0
Moravskoslezský kraj,3+1,65 ,13000,3000
Jihomoravský kraj,2+1,62 ,17000,800
Praha,3+kk,97 ,30000,0
Praha,1+kk,30 ,11800,2800
Praha,2+kk,70 ,23000,6000
Jihočeský kraj,4+1,110 ,18000,5000
Praha,3+kk,110 ,31900,3900
Jihomoravský kraj,1+1,43 ,10900,2400
Praha,2+1,40 ,14900,2500
Praha,2+kk,50 ,29800,5000
Praha,1+kk,33 ,22500,4000
Praha,3+1,102 ,28000,800
Praha,2+kk,65 ,18000,1600
Středočeský kraj,2+1,90 ,10000,0
Olomoucký kraj,1+1,35 ,8990,910
Praha,2+kk,44 ,12000,2800
Praha,1+1,40 ,14000,2000
Praha,2+kk,54 ,21900,5000
Středočeský kraj,1+1,40 ,11000,5300
Praha,3+1,77 ,22990,3357
kraj Vysočina,2+kk,32 ,7000,3000
Moravskoslezský kraj,3+1,75 ,14899,0
Moravskoslezský kraj,1+1,36 ,7000,0
Praha,2+kk,56 ,20000,4000
Jihomoravský kraj,2+kk,43 ,12900,4000
Jihočeský kraj,2+kk,62 ,13000,5000
Praha,3+kk,70 ,20000,6020
Středočeský kraj,3+kk,64 ,15000,0
kraj Vysočina,2+kk,47 ,10500,3500
Moravskoslezský kraj,1+kk,27 ,4900,0
Královéhradecký kraj,5+1,140 ,16000,8000
Královéhradecký kraj,3+1,88 ,14000,5000
Olomoucký kraj,2+kk,56 ,14000,3000
Ústecký kraj,2+kk,55 ,9000,3000
Královéhradecký kraj,3+1,70 ,9000,6000
Karlovarský kraj,1+1,39 ,8500,0
Plzeňský kraj,2+1,64 ,15000,0
Zlínský kraj,1+kk,26 ,9000,500
Středočeský kraj,2+1,59 ,15700,1500
Praha,2+1,70 ,21000,3000
Středočeský kraj,1+1,44 ,9000,3000
Středočeský kraj,1+1,34 ,8000,3500
Moravskoslezský kraj,2+1,50 ,11000,2000
Karlovarský kraj,2+kk,75 ,4200,500
Praha,3+kk,70 ,21000,3320
Plzeňský kraj,2+1,58 ,11500,3300
Moravskoslezský kraj,1+1,36 ,8500,0
Středočeský kraj,2+1,53 ,10000,5500
Liberecký kraj,1+1,48 ,9000,860
Olomoucký kraj,3+1,70 ,13000,5000
Praha,2+1,54 ,18500,3500
Praha,2+kk,50 ,15000,2170
Praha,2+kk,48 ,15500,3000
Liberecký kraj,2+kk,58 ,9000,5500
Jihomoravský kraj,1+kk,61 ,14000,3500
Moravskoslezský kraj,2+1,64 ,10000,2200
Ústecký kraj,Garsoniéra,20 ,5800,0
Karlovarský kraj,2+kk,55 ,8000,1500
Praha,1+kk,34 ,18000,2000
Praha,2+kk,51 ,17500,6500
Karlovarský kraj,5+1,120 ,15000,5000
Jihomoravský kraj,4+1,84 ,19500,5500
Královéhradecký kraj,3+1,75 ,14000,1
Jihomoravský kraj,4+kk,96 ,25000,5000
Moravskoslezský kraj,2+1,54 ,10000,5000
Praha,2+kk,50 ,13000,2000
Středočeský kraj,1+kk,44 ,12490,2419
Středočeský kraj,1+1,36 ,8000,3500
Liberecký kraj,1+kk,33 ,8000,2000
Jihočeský kraj,Garsoniéra,30 ,8500,3000
Moravskoslezský kraj,2+kk,45 ,7500,2500
Liberecký kraj,Garsoniéra,36 ,10000,1500
Plzeňský kraj,2+1,60 ,10500,5000
Ústecký kraj,2+kk,40 ,8000,3000
Středočeský kraj,1+kk,30 ,12500,2500
Královéhradecký kraj,1+1,55 ,7000,4000
Středočeský kraj,2+kk,55 ,9800,4100
Praha,3+kk,119 ,50000,3000
Praha,1+kk,32 ,15000,682
Ústecký kraj,Garsoniéra,24 ,6500,3000
Praha,2+kk,55 ,18000,500
Plzeňský kraj,2+kk,75 ,14500,3000
Ústecký kraj,1+1,43 ,10700,400
Karlovarský kraj,2+kk,45 ,3500,650
Praha,2+kk,43 ,16000,3000
Praha,1+kk,23 ,9000,2500
Olomoucký kraj,2+1,49 ,8800,2200
Praha,3+1,90 ,28000,5200
Moravskoslezský kraj,1+1,36 ,10000,3000
Plzeňský kraj,2+kk,50 ,11000,4000
Ústecký kraj,1+1,36 ,7800,2200
Plzeňský kraj,2+1,57 ,10600,5000
Praha,3+1,75 ,16000,3600
Praha,2+kk,42 ,13500,2500
Praha,2+kk,43 ,9908,3092
Praha,1+1,34 ,12000,2500
Jihomoravský kraj,1+kk,54 ,12000,3900
Karlovarský kraj,2+1,61 ,9500,3405
Karlovarský kraj,3+1,75 ,19500,3000
Praha,2+kk,55 ,14000,3800
Středočeský kraj,2+kk,50 ,15000,2000
Karlovarský kraj,1+1,38 ,7000,1000
Jihomoravský kraj,2+kk,67 ,15500,3000
Pardubický kraj,2+1,55 ,8500,4500
Praha,2+1,70 ,18000,5000
Praha,3+kk,132 ,25000,7000
Moravskoslezský kraj,2+1,80 ,11500,3000
Jihomoravský kraj,1+kk,17 ,11900,3210
Jihomoravský kraj,1+kk,19 ,11900,3210
Jihomoravský kraj,1+kk,17 ,11900,3210
Jihomoravský kraj,3+1,95 ,34900,9210
Jihomoravský kraj,4+1,104 ,11000,4000
Moravskoslezský kraj,4+kk,81 ,9000,6000
Jihomoravský kraj,1+kk,23 ,11900,3210
Jihomoravský kraj,2+1,30 ,21900,5210
Ústecký kraj,2+1,61 ,12500,1500
Jihomoravský kraj,2+1,60 ,14750,2500
Ústecký kraj,3+1,88 ,11250,8265
Plzeňský kraj,3+kk,110 ,17000,3000
Středočeský kraj,6+1,20 ,5300,2700
Jihočeský kraj,1+kk,29 ,11000,1500
Jihomoravský kraj,1+kk,33 ,7500,3500
Ústecký kraj,2+1,60 ,5000,7500
Praha,1+kk,34 ,17000,4200
Praha,2+kk,46 ,20000,5000
Středočeský kraj,3+kk,70 ,13800,2000
Praha,4+kk,86 ,25000,5800
Středočeský kraj,1+kk,35 ,9500,2000
Jihočeský kraj,2+1,43 ,11500,2000
Praha,3+1,91 ,23000,700
Praha,2+1,75 ,19900,1500
Středočeský kraj,2+1,75 ,13000,6900
Středočeský kraj,3+kk,61 ,19000,4800
Středočeský kraj,3+kk,115 ,17000,5000
Praha,1+kk,24 ,20000,3000
Karlovarský kraj,3+1,84 ,8000,4500
Středočeský kraj,3+kk,73 ,11000,5500
Praha,1+kk,80 ,20000,8000
Středočeský kraj,2+kk,56 ,12900,2400
Středočeský kraj,6+1,240 ,28000,5000
Středočeský kraj,2+kk,47 ,13000,3000
Praha,1+1,54 ,14500,500
Jihomoravský kraj,1+1,50 ,14000,1500
Karlovarský kraj,1+1,36 ,6000,3000
Jihočeský kraj,2+1,71 ,14800,800
Karlovarský kraj,1+kk,53 ,9500,2000
Středočeský kraj,2+1,72 ,11900,4000
Moravskoslezský kraj,Garsoniéra,31 ,7000,500
Jihomoravský kraj,3+1,78 ,15000,5000
Královéhradecký kraj,Garsoniéra,20 ,9100,0
Moravskoslezský kraj,1+1,34 ,8000,0
Středočeský kraj,1+kk,35 ,10000,3500
Pardubický kraj,Garsoniéra,37 ,10000,2500
Jihomoravský kraj,1+kk,42 ,10500,2500
Plzeňský kraj,3+kk,106 ,23000,4200
Moravskoslezský kraj,2+1,52 ,14000,2500
Olomoucký kraj,2+1,44 ,8500,3200
Plzeňský kraj,3+kk,73 ,14400,3000
Praha,3+1,104 ,31500,2100
Jihomoravský kraj,1+kk,25 ,11000,3500
Jihočeský kraj,2+kk,58 ,13000,3000
Praha,1+1,42 ,15000,3700
Praha,1+kk,29 ,14900,2900
Praha,2+kk,70 ,15000,5000
Praha,3+kk,74 ,20000,6000
Praha,1+kk,29 ,12500,2500
Moravskoslezský kraj,2+kk,36 ,7500,0
Ústecký kraj,1+kk,35 ,7000,4000
Praha,1+kk,50 ,14999,700
Jihomoravský kraj,2+1,54 ,15000,3000
Praha,Garsoniéra,20 ,12000,1000
Středočeský kraj,2+1,55 ,14000,6400
Středočeský kraj,2+1,50 ,12000,0
Ústecký kraj,3+kk,98 ,15000,1
Pardubický kraj,3+1,97 ,12500,4000
Karlovarský kraj,2+1,64 ,3500,8005
Jihočeský kraj,3+1,64 ,10500,4500
Jihočeský kraj,2+1,62 ,12000,4000
Středočeský kraj,2+kk,58 ,13500,3500
Jihočeský kraj,1+kk,36 ,13000,3000
Olomoucký kraj,1+1,23 ,5000,2000
Jihočeský kraj,2+1,49 ,5500,3500
Plzeňský kraj,2+kk,59 ,17000,2800
Praha,2+kk,50 ,7000,1500
Pardubický kraj,2+1,63 ,8800,3700
Praha,2+kk,71 ,19900,100
Praha,2+kk,41 ,29042,5400
Praha,2+kk,65 ,14000,4000
Praha,1+kk,27 ,20891,4100
Plzeňský kraj,3+kk,81 ,31000,7000
Praha,1+kk,30 ,13000,2228
Ústecký kraj,1+1,29 ,6500,750
Liberecký kraj,3+kk,112 ,21000,4900
Jihomoravský kraj,2+1,40 ,18000,3000
Praha,2+kk,50 ,13500,2500
Praha,3+kk,101 ,16000,700
Olomoucký kraj,3+1,86 ,11000,4000
Pardubický kraj,3+1,68 ,10000,1
Ústecký kraj,3+kk,110 ,12000,6000
Ústecký kraj,3+1,94 ,12000,4300
Moravskoslezský kraj,3+kk,88 ,17000,2000
Olomoucký kraj,2+kk,54 ,14000,3000
Plzeňský kraj,3+kk,77 ,8600,2400
Jihomoravský kraj,3+kk,80 ,14900,1
Plzeňský kraj,1+kk,20 ,4500,1500
Středočeský kraj,1+kk,43 ,18000,2900
kraj Vysočina,3+1,74 ,14500,5000
Ústecký kraj,1+1,36 ,5400,2400
Praha,3+1,86 ,30000,0
Ústecký kraj,2+1,65 ,8000,2898
Jihočeský kraj,2+1,65 ,12000,3000
Jihomoravský kraj,2+1,56 ,12000,7000
Královéhradecký kraj,2+kk,57 ,17000,4000
Praha,3+kk,64 ,20000,5952
Středočeský kraj,3+kk,120 ,12000,3000
Praha,Garsoniéra,30 ,15000,3000
Praha,1+1,27 ,27000,3000
Praha,3+kk,56 ,16500,5500
Praha,2+kk,50 ,17900,3000
Praha,2+kk,72 ,23000,3000
Jihomoravský kraj,1+1,32 ,15000,1
Jihomoravský kraj,2+1,54 ,12500,4000
Praha,2+kk,43 ,16000,6000
Praha,Garsoniéra,24 ,12500,3650
Moravskoslezský kraj,2+1,51 ,10500,2100
Středočeský kraj,3+1,70 ,15000,2500
Praha,2+kk,43 ,18500,2500
Praha,1+kk,34 ,15500,3000
Středočeský kraj,2+kk,52 ,15000,3500
Praha,3+1,75 ,15000,700
Moravskoslezský kraj,2+1,54 ,10700,5200
Praha,3+kk,250 ,65000,4800
Středočeský kraj,2+1,56 ,12990,1803
Jihomoravský kraj,2+1,60 ,16000,3000
Praha,5+1,10 ,8500,0
Praha,1+kk,32 ,19000,3000
Středočeský kraj,1+kk,26 ,7990,2682
Praha,3+kk,70 ,19000,7000
Ústecký kraj,3+kk,69 ,8500,1800
Praha,1+kk,25 ,14900,1500
Ústecký kraj,2+kk,64 ,9600,3500
Jihomoravský kraj,1+1,33 ,8500,4500
Praha,2+kk,66 ,21000,700
Praha,3+kk,72 ,18490,3356
Praha,3+kk,93 ,26800,700
Praha,2+kk,41 ,15000,3400
Praha,2+kk,50 ,16000,4000
Praha,Garsoniéra,42 ,11800,2500
Praha,3+1,68 ,20000,5500
Praha,Garsoniéra,21 ,10000,3000
Praha,2+1,50 ,19000,2000
Plzeňský kraj,3+1,74 ,15000,5000
Praha,Garsoniéra,22 ,12000,2000
Olomoucký kraj,2+1,56 ,9000,3000
Praha,2+kk,63 ,21990,3827
Středočeský kraj,1+kk,28 ,14000,3500
Pardubický kraj,4+1,80 ,15000,6000
Praha,2+kk,66 ,26900,4500
Praha,3+kk,73 ,21900,3900
Zlínský kraj,2+kk,50 ,15000,0
Praha,3+1,73 ,22990,4560
Jihomoravský kraj,2+1,56 ,16000,4500
Jihomoravský kraj,1+1,36 ,9200,4400
Středočeský kraj,2+kk,65 ,18000,4000
Praha,2+kk,42 ,20000,2000
Praha,1+kk,40 ,12000,3500
Jihočeský kraj,2+kk,77 ,10000,2500
Jihočeský kraj,3+kk,126 ,15000,3000
Ústecký kraj,1+1,37 ,6300,1300
Jihomoravský kraj,3+1,74 ,11000,5500
Praha,2+1,50 ,16000,3500
Praha,4+kk,119 ,45000,5500
Liberecký kraj,2+kk,60 ,8000,200
Praha,1+1,41 ,15500,4500
Praha,3+kk,69 ,13300,5700
Praha,2+kk,50 ,15200,2720
kraj Vysočina,2+1,70 ,11000,4000
Jihomoravský kraj,2+1,50 ,15000,4000
Praha,1+kk,25 ,11000,3500
Praha,2+kk,46 ,14990,5010
Praha,2+1,65 ,21000,5000
Jihomoravský kraj,4+1,85 ,18500,6500
Plzeňský kraj,2+kk,49 ,12500,3000
Jihomoravský kraj,2+1,57 ,12500,5500
Praha,3+kk,85 ,27000,2500
Karlovarský kraj,Garsoniéra,20 ,4000,5000
Jihomoravský kraj,2+kk,62 ,15500,2500
Praha,3+1,75 ,21000,4000
Praha,2+kk,32 ,17000,3700
Praha,3+kk,100 ,50000,0
