Lokace,Velikost,Metry2,Cena,Služby
Praha,2+1,82 ,43500,14500
Moravskoslezský kraj,3+kk,72 ,13000,4500
Praha,1+kk,21 ,18000,6000
Praha,2+kk,47 ,56250,18750
Jihomoravský kraj,2+1,55 ,9900,4000
Praha,1+kk,37 ,14000,3300
Moravskoslezský kraj,3+1,67 ,7820,0
Moravskoslezský kraj,2+1,63 ,6070,0
Moravskoslezský kraj,3+1,77 ,10810,0
Moravskoslezský kraj,1+kk,25 ,5540,0
Moravskoslezský kraj,3+1,71 ,7220,0
Moravskoslezský kraj,2+1,54 ,6580,0
Moravskoslezský kraj,1+1,28 ,4150,0
Moravskoslezský kraj,2+1,50 ,6600,0
Moravskoslezský kraj,2+1,49 ,6950,0
Moravskoslezský kraj,1+kk,29 ,5500,0
Moravskoslezský kraj,1+kk,27 ,5370,0
Moravskoslezský kraj,1+1,36 ,7800,0
Středočeský kraj,2+1,51 ,13000,6000
Moravskoslezský kraj,2+kk,39 ,9000,1500
Královéhradecký kraj,3+1,106 ,8900,3750
Středočeský kraj,1+kk,36 ,10500,2225
Praha,Garsoniéra,14 ,8000,1500
Praha,Garsoniéra,14 ,8000,1500
Praha,2+kk,75 ,33750,11250
Jihomoravský kraj,3+1,70 ,17000,3500
Praha,2+kk,45 ,42120,14040
Praha,4+kk,112 ,41625,13875
Praha,3+kk,67 ,56475,18825
Praha,1+1,43 ,14800,2300
Praha,2+1,93 ,27000,5000
Praha,2+1,86 ,28000,700
Olomoucký kraj,3+1,88 ,16990,4430
Jihočeský kraj,2+1,68 ,11000,4500
Praha,2+kk,36 ,12868,2132
Jihomoravský kraj,3+kk,74 ,19900,1000
Ústecký kraj,2+kk,52 ,6000,5000
Praha,2+kk,53 ,16700,7300
Jihomoravský kraj,2+kk,57 ,16500,3000
Praha,3+kk,86 ,32000,6000
Ústecký kraj,Garsoniéra,22 ,7000,0
Praha,1+kk,40 ,14900,2100
Královéhradecký kraj,3+1,72 ,15000,5000
Středočeský kraj,1+1,38 ,9000,3000
Praha,2+1,54 ,15000,2700
Jihomoravský kraj,1+kk,27 ,11000,0
Olomoucký kraj,1+kk,36 ,9990,2790
Středočeský kraj,3+kk,64 ,15000,2500
Středočeský kraj,2+kk,42 ,12000,0
Praha,2+kk,46 ,13000,4500
Praha,2+kk,55 ,21000,6500
Praha,2+kk,68 ,37350,12450
Praha,3+kk,56 ,18000,4500
Středočeský kraj,2+1,52 ,13500,3500
