Brno - Žabovřesky Jihomoravský kraj,1+kk,15 ,5000,0
Radniční Tanvald Liberecký kraj,2+kk,41 ,8300,2500
Olomouc - Nová Ulice Olomoucký kraj,2+kk,61 ,14000,3000
Tábor Jihočeský kraj,2+kk,47 ,10000,3500
Praha - Zličín,2+kk,52 ,20000,5000
Jinočany Středočeský kraj,1+kk,37 ,16000,2500
Praha - Stodůlky,2+kk,43 ,10900,3798
Staré Brno Jihomoravský kraj,1+kk,29 ,12000,2560
Teplá Karlovarský kraj,1+1,40 ,5000,3000
U Reálky Olomouc-město Olomoucký kraj,1+kk,34 ,19500,6500
Kojetická Neratovice Středočeský kraj,2+kk,41 ,11500,3000
Fügnerova Poděbrady Středočeský kraj,2+kk,60 ,21000,3600
Předměřice nad Jizerou Středočeský kraj,2+kk,61 ,17000,4500
Nad Závěrkou Praha - Břevnov,1+kk,40 ,14000,7500
Praha - Řepy,2+1,70 ,18000,0
V Rohu Praha - Libuš,3+1,82 ,17000,3000
Písečná Praha - Troja,Garsoniéra,27 ,12000,2000
Šífařská Praha - Hodkovičky,Garsoniéra,33 ,12000,3000
Kytínská Praha - Hostivař,2+kk,53 ,19000,4000
Kadečkové Praha - Letňany,1+kk,32 ,14000,1930
Karlovy Vary - Doubí u Karlových Var Karlovarský kraj,1+1,43 ,9000,2381
Mírového Hnutí Praha - Háje,2+kk,46 ,18000,4500
Petržalka - Dvory Bratislavský kraj,4+kk,86 ,160€,50€
Nad Krocínkou Praha - Prosek,2+kk,45 ,9500,4500
Nepilova Praha - Vysočany,2+kk,52 ,18500,4000
Praha - Zbraslav,2+kk,57 ,16500,6000
Olštýnská Praha - Troja,2+kk,44 ,16900,3100
Moravská Ostrava Moravskoslezský kraj,1+kk,33 ,5600,3000
Olomouc - Hodolany Olomoucký kraj,2+kk,64 ,15900,3000
Brno - Židenice Jihomoravský kraj,2+kk,50 ,18000,2000
Purkyňova Liberec - Ruprechtice Liberecký kraj,2+kk,68 ,21750,7250
Kladno Středočeský kraj,1+1,32 ,10000,2700
Pod Slovany Praha - Nové Město,2+kk,40 ,19900,3900
Praha - Stodůlky,2+kk,487 ,18000,2500
Ústí nad Labem - Střekov Ústecký kraj,1+1,42 ,7900,1900
Praha - Nusle,3+kk,63 ,21000,6000
Praha - Strašnice,2+kk,55 ,18000,5500
Moravská Ostrava Moravskoslezský kraj,2+kk,72 ,17500,0
Višňová Milovice - Benátecká Vrutice Středočeský kraj,1+kk,39 ,8500,3000
Zlín Zlínský kraj,2+kk,50 ,10000,4500
Únětice u Prahy Středočeský kraj,1+1,40 ,10000,5000
Odolena Voda Středočeský kraj,2+kk,61 ,15500,4200
Výpustky Brno - Obřany Jihomoravský kraj,2+kk,70 ,13500,0
Mladá Boleslav Středočeský kraj,1+1,55 ,12000,4000
Kodaňská Praha - Vršovice,3+kk,104 ,3000,2500
Kadečkové Praha - Letňany,1+kk,31 ,13800,2297
Praha - Stodůlky,3+kk,91 ,28000,4826
Padovská Praha - Horní Měcholupy,1+kk,30 ,12000,3500
Tišnov Jihomoravský kraj,3+kk,75 ,14000,3000
Olbrachtova Havířov-město Moravskoslezský kraj,2+1,54 ,6450,0
Dr. Glazera Horní Suchá Moravskoslezský kraj,1+kk,29 ,4190,0
Školská Karviná - Ráj Moravskoslezský kraj,2+1,52 ,6760,0
Matěje Kopeckého Ostrava - Poruba Moravskoslezský kraj,2+1,52 ,8180,0
Beethovenova Havířov-město Moravskoslezský kraj,2+1,55 ,7020,0
Jilemnického Havířov-město Moravskoslezský kraj,2+1,54 ,6600,0
Praha - Stodůlky,2+kk,50 ,17500,4500
